bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,Unnamed: 32,min,q1,mean,median,q3,max,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-RM_081.8.fa.gz,RM_081,RMCA,Piliocolobus foai,male,M3,1982,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_081.8.fa.gz,bacteria_odb10,90.3,89.5,0.8,6.5,3.2,124,MEGAHIT-MetaBAT2Refined-RM_081.8.fa.gz,127,127,112,87,38,14,2884896,2884896,2840453,2653519,1863035,1015431,127,118615,2884896,69.34,36212,20044,25,52,0.0,1 + 0 part,,0.067,0.175,0.2057952755905511,0.2,0.2345,0.522,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_081.8.fa.gz,o__Actinomycetales (UID1530),622,258,152,8,244,6,0,0,0,96.95,2.19,16.67,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000426605.1; s__Propionibacterium acidifaciens; 95.0; 86.18; 0.437; GCF_003666605.1; s__Propionibacterium australiense; 95.0; 85.36; 0.416; GCF_900289195.1; s__Propionibacterium ruminifibrarum; 95.0; 84.85; 0.416,91.62,11.0,0.97836,
MEGAHIT-MaxBin2Refined-RM_125.001.fa.gz,RM_125,RMCA,Equus burchellii,male,M3C,<1913,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_125.001.fa.gz,bacteria_odb10,88.7,87.1,1.6,6.5,4.8,124,MEGAHIT-MaxBin2Refined-RM_125.001.fa.gz,683,683,219,80,6,0,3347060,3347060,2313557,1331114,194717,0,683,46850,3347060,43.32,7823,3896,119,264,0.0,2 + 0 part,,0.0,0.145,0.312221083455344,0.232,0.3595,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_125.001.fa.gz,f__Moraxellaceae (UID4680),86,689,365,17,635,34,3,0,0,96.98,5.67,67.44,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pseudolwoffii,GCF_002803605.1,95.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pseudolwoffii,97.91,0.824,,,,,,,ani_screen,classification based on ANI only,GCF_019048525.1; s__Acinetobacter lwoffii_K; 96.35; 89.45; 0.606; GCF_029024105.1; s__Acinetobacter lwoffii; 96.35; 90.01; 0.618; GCF_024129355.1; s__Acinetobacter lwoffii_I; 96.07; 89.8; 0.623; GCF_014769185.1; s__Acinetobacter lwoffii_D; 96.38; 90.01; 0.629; GCF_014837015.1; s__Acinetobacter pecorum; 95.0; 88.01; 0.528; GCF_022967985.1; s__Acinetobacter sp002367455; 96.56; 89.52; 0.627; GCF_002321025.1; s__Acinetobacter lwoffii_J; 95.0; 89.59; 0.665; GCF_022809915.1; s__Acinetobacter lwoffii_M; 96.22; 89.62; 0.617; GCA_013530545.1; s__Acinetobacter lwoffii_G; 96.18; 89.94; 0.626; GCF_024129595.1; s__Acinetobacter lwoffii_O; 96.45; 89.62; 0.615; GCA_000761495.1; s__Acinetobacter idrijaensis; 95.91; 91.0; 0.619; GCF_013417155.1; s__Acinetobacter sp013417155; 96.33; 90.93; 0.609; GCF_019343495.1; s__Acinetobacter lwoffii_P; 96.33; 89.6; 0.61; GCA_002332985.1; s__Acinetobacter lwoffii_N; 96.55; 89.72; 0.655; GCF_015602705.1; s__Acinetobacter lwoffii_E; 95.69; 89.6; 0.66; GCF_000369625.1; s__Acinetobacter variabilis; 95.0; 85.1; 0.322; GCF_024129735.1; s__Acinetobacter lwoffii_H; 96.17; 89.8; 0.621; GCF_019038395.1; s__Acinetobacter sp019038395; 95.0; 89.24; 0.605; GCF_011058205.1; s__Acinetobacter fasciculus; 96.28; 90.02; 0.606; GCF_024129435.1; s__Acinetobacter lwoffii_F; 96.07; 89.62; 0.642; GCF_024129855.1; s__Acinetobacter lwoffii_L; 96.51; 89.52; 0.607,,,,
MEGAHIT-MaxBin2Refined-RM_125.002.fa.gz,RM_125,RMCA,Equus burchellii,male,M3C,<1913,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_125.002.fa.gz,bacteria_odb10,88.7,87.1,1.6,9.7,1.6,124,MEGAHIT-MaxBin2Refined-RM_125.002.fa.gz,517,517,175,104,21,1,3171592,3171592,2550967,2016190,727729,55309,517,55309,3171592,70.15,13578,6958,68,147,0.0,1 + 0 part,,0.0,0.138,0.2758143133462282,0.183,0.271,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_125.002.fa.gz,f__Actinomycetaceae (UID1531),42,420,211,7,373,39,1,0,0,99.12,8.79,23.81,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,,,,,,GCF_000220835.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835,82.08,0.199,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000711965.1; s__Actinomyces israelii; 95.0; 82.56; 0.17,84.77,11.0,0.97748,
MEGAHIT-MaxBin2Refined-RM_125.003.fa.gz,RM_125,RMCA,Equus burchellii,male,M3C,<1913,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_125.003.fa.gz,bacteria_odb10,96.8,95.2,1.6,3.2,0.0,124,MEGAHIT-MaxBin2Refined-RM_125.003.fa.gz,145,145,50,40,21,13,2123559,2123559,1978735,1906047,1562917,1312463,145,189439,2123559,55.8,71203,24040,10,23,0.0,2 + 1 part,,0.0,0.162,0.3550344827586206,0.236,0.428,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_125.003.fa.gz,o__Actinomycetales (UID1530),622,257,151,3,243,11,0,0,0,98.79,4.86,9.09,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,92.45,11.0,0.95315,
MEGAHIT-MetaBAT2Refined-RM_125.2.fa.gz,RM_125,RMCA,Equus burchellii,male,M3C,<1913,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_125.2.fa.gz,bacteria_odb10,73.4,71.0,2.4,5.6,21.0,124,MEGAHIT-MetaBAT2Refined-RM_125.2.fa.gz,729,729,64,5,0,0,2088294,2088294,448058,70406,0,0,729,17058,2088294,31.01,2959,2107,226,435,0.0,0 + 0 part,,0.0,0.192,0.5343511659807956,0.464,0.99,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_125.2.fa.gz,g__Clostridium (UID1380),44,404,145,114,283,7,0,0,0,65.71,0.76,14.29,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hathewaya;s__Hathewaya massiliensis,GCF_902143515.1,95.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hathewaya;s__Hathewaya massiliensis,98.05,0.656,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MetaBAT2Refined-RM_125.6_sub.fa.gz,RM_125,RMCA,Equus burchellii,male,M3C,<1913,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_125.6_sub.fa.gz,bacteria_odb10,81.4,80.6,0.8,6.5,12.1,124,MEGAHIT-MetaBAT2Refined-RM_125.6_sub.fa.gz,307,307,186,105,13,1,2843879,2843879,2475176,1887495,468725,62241,307,62241,2843879,50.01,13580,7865,66,133,0.0,1 + 0 part,,0.005,0.1395,0.2566058631921824,0.195,0.2675,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_125.6_sub.fa.gz,o__Actinomycetales (UID1812),229,457,227,36,412,9,0,0,0,94.07,3.23,33.33,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,85.88,11.0,0.98077,
MEGAHIT-MaxBin2Refined-RM_083.007_sub.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_083.007_sub.fa.gz,bacteria_odb10,67.0,59.7,7.3,18.5,14.5,124,MEGAHIT-MaxBin2Refined-RM_083.007_sub.fa.gz,1018,1018,146,23,0,0,2928823,2928823,1127845,315000,0,0,1018,22669,2928823,57.25,3968,1996,223,483,0.0,0 + 0 part,,0.0,0.081,0.2458438113948919,0.1405,0.25775,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_083.007_sub.fa.gz,k__Bacteria (UID203),5449,104,58,7,70,21,5,1,0,91.22,9.87,4.76,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,66.51,11.0,0.94462,Genome has more than 14.2% of markers with multiple hits
MEGAHIT-MaxBin2Refined-RM_083.009.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_083.009.fa.gz,bacteria_odb10,46.0,45.2,0.8,21.8,32.2,124,MEGAHIT-MaxBin2Refined-RM_083.009.fa.gz,865,865,7,1,0,0,1501874,1501874,47708,13341,0,0,865,13341,1501874,56.14,1770,1307,288,536,0.0,0 + 0 part,,0.0,0.134,0.4206959537572254,0.287,0.733,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_083.009.fa.gz,o__Clostridiales (UID1212),172,263,149,89,160,13,1,0,0,64.86,6.04,12.5,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__UBA2658 sp002359425,GCA_002359425.1,95.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__UBA2658 sp002359425,98.87,0.633,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MetaBAT2Refined-RM_083.11_sub.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_083.11_sub.fa.gz,bacteria_odb10,48.4,48.4,0.0,7.3,44.3,124,MEGAHIT-MetaBAT2Refined-RM_083.11_sub.fa.gz,121,121,50,15,2,0,689195,689195,477631,228177,53018,0,121,27835,689195,49.68,7799,4509,29,59,0.0,0 + 1 part,,0.008,0.086,0.1879917355371901,0.125,0.177,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_083.11_sub.fa.gz,k__Bacteria (UID1453),901,171,117,81,88,2,0,0,0,53.51,1.71,0.0,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosynbacteraceae;g__Nanosynbacter;s__,,,,,,,,,,,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosynbacteraceae;g__Nanosynbacter;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_030253515.1; s__Nanosynbacter lyticus_A; 95.0; 85.02; 0.297; GCA_013333695.2; s__Nanosynbacter sp013333695; 95.0; 84.92; 0.308; GCA_010202115.1; s__Nanosynbacter sp010202115; 95.0; 84.9; 0.324; GCA_013100805.1; s__Nanosynbacter sp013100805; 95.0; 84.8; 0.341; GCA_013100825.1; s__Nanosynbacter sp013100825; 95.0; 84.79; 0.338; GCA_005697215.1; s__Nanosynbacter sp005697215; 95.0; 84.79; 0.329; GCA_010202645.1; s__Nanosynbacter sp010202645; 95.0; 84.52; 0.327; GCA_013099015.1; s__Nanosynbacter sp013099015; 95.0; 84.51; 0.305; GCA_013099195.1; s__Nanosynbacter sp013099195; 95.0; 84.46; 0.329; GCA_010202845.1; s__Nanosynbacter sp010202845; 95.0; 84.38; 0.326; GCA_010202465.1; s__Nanosynbacter sp010202465; 95.0; 84.09; 0.326; GCA_947097375.1; s__Nanosynbacter sp947097375; 95.0; 82.18; 0.216,52.19,11.0,0.96796,
MEGAHIT-MetaBAT2Refined-RM_083.2.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_083.2.fa.gz,bacteria_odb10,75.0,75.0,0.0,11.3,13.7,124,MEGAHIT-MetaBAT2Refined-RM_083.2.fa.gz,381,381,176,72,5,0,2510762,2510762,1922214,1195112,155039,0,381,39035,2510762,69.96,9446,5167,79,169,0.0,0 + 0 part,,0.014,0.086,0.1369684210526315,0.117,0.1575,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_083.2.fa.gz,o__Actinomycetales (UID1530),622,258,152,39,208,11,0,0,0,87.31,4.24,18.18,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000426605.1; s__Propionibacterium acidifaciens; 95.0; 86.55; 0.407; GCF_003666605.1; s__Propionibacterium australiense; 95.0; 85.84; 0.393; GCF_900289195.1; s__Propionibacterium ruminifibrarum; 95.0; 85.62; 0.386,74.58,11.0,0.97811,
MEGAHIT-MetaBAT2Refined-RM_083.7.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_083.7.fa.gz,bacteria_odb10,95.1,93.5,1.6,1.6,3.3,124,MEGAHIT-MetaBAT2Refined-RM_083.7.fa.gz,125,125,97,67,30,4,2088609,2088609,1993272,1780913,1172533,312514,125,120211,2088609,43.09,26355,15472,26,50,0.0,1 + 0 part,,0.043,0.12,0.1426879999999999,0.138,0.161,0.364,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_083.7.fa.gz,k__Bacteria (UID2569),434,278,186,3,274,1,0,0,0,98.39,0.54,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,,,,,,GCA_000163695.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__F0058 sp000163695,89.32,0.696,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_905372135.1; s__F0058 sp905372135; 95.0; 84.55; 0.23,95.63,11.0,0.99587,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-RM_083.8.fa.gz,RM_083,RMCA,Piliocolobus foai,male,M3,1981,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_083.8.fa.gz,bacteria_odb10,80.6,77.4,3.2,4.8,14.6,124,MEGAHIT-MetaBAT2Refined-RM_083.8.fa.gz,546,546,119,24,0,0,2131412,2131412,951352,331405,0,0,546,24539,2131412,35.89,4557,2817,144,290,0.0,0 + 0 part,,0.0,0.08225,0.2313846153846153,0.1475,0.2455,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_083.8.fa.gz,o__Clostridiales (UID1226),155,277,157,39,228,10,0,0,0,85.29,3.58,20.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__Johnsonella ignava,GCF_000235445.1,95.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__Johnsonella ignava,97.91,0.745,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-RM_173.001.fa.gz,RM_173,RMCA,Papio anubis,male,M3,1982,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_173.001.fa.gz,bacteria_odb10,49.2,49.2,0.0,15.3,35.5,124,MEGAHIT-MaxBin2Refined-RM_173.001.fa.gz,306,306,39,4,0,0,908870,908870,314774,63046,0,0,306,20205,908870,51.24,3577,2152,73,156,0.0,0 + 0 part,,0.0,0.085,0.1319803921568627,0.1245,0.16375,0.912,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_173.001.fa.gz,k__Bacteria (UID1453),901,171,117,57,105,9,0,0,0,56.98,3.41,33.33,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__,,,,,,GCA_937923035.1,95.0,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp937923035,85.78,0.178,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_937875905.1; s__Nanoperiomorbus sp937875905; 95.0; 87.41; 0.219; GCF_004138455.1; s__Nanoperiomorbus periodonticus; 95.0; 87.21; 0.207; GCA_938045415.1; s__Nanoperiomorbus sp938045415; 95.0; 87.12; 0.199; GCA_938039235.1; s__Nanoperiomorbus sp938039235; 95.0; 87.03; 0.175; GCA_938018255.1; s__Nanoperiomorbus sp938018255; 95.0; 87.01; 0.232; GCA_937895875.1; s__Nanoperiomorbus sp937895875; 95.0; 86.92; 0.208; GCA_905373385.1; s__Nanoperiomorbus sp905373385; 95.0; 86.8; 0.215; GCA_938028525.1; s__Nanoperiomorbus sp938028525; 95.0; 86.79; 0.211; GCA_905365345.1; s__Nanoperiomorbus sp905365345; 95.0; 86.74; 0.167; GCA_938039175.1; s__Nanoperiomorbus sp938039175; 95.0; 86.73; 0.204; GCA_938028655.1; s__Nanoperiomorbus sp938028655; 95.0; 86.63; 0.189; GCA_937927395.1; s__Nanoperiomorbus sp937927395; 95.0; 86.62; 0.171; GCA_937989845.1; s__Nanoperiomorbus sp937989845; 95.0; 86.61; 0.201; GCA_938045495.1; s__Nanoperiomorbus sp938045495; 95.0; 86.61; 0.189; GCA_938044085.1; s__Nanoperiomorbus sp938044085; 95.0; 86.57; 0.183; GCA_937921755.1; s__Nanoperiomorbus sp937921755; 95.0; 86.57; 0.179; GCA_938018015.1; s__Nanoperiomorbus sp938018015; 95.0; 86.53; 0.185; GCA_938017625.1; s__Nanoperiomorbus sp938017625; 95.0; 86.37; 0.189; GCA_905372225.1; s__Nanoperiomorbus sp905372225; 95.0; 86.34; 0.217; GCA_938002925.1; s__Nanoperiomorbus sp938002925; 95.0; 86.31; 0.196; GCA_938046575.1; s__Nanoperiomorbus sp938046575; 95.0; 86.25; 0.161; GCA_905373275.1; s__Nanoperiomorbus sp905373275; 95.0; 86.24; 0.199; GCA_937927165.1; s__Nanoperiomorbus sp937927165; 95.0; 86.2; 0.201; GCA_938045395.1; s__Nanoperiomorbus sp938045395; 95.0; 86.17; 0.193; GCA_013333515.2; s__Nanoperiomorbus sp013333515; 95.0; 86.16; 0.209; GCA_938049755.1; s__Nanoperiomorbus sp938049755; 95.0; 86.16; 0.173; GCA_938036615.1; s__Nanoperiomorbus sp938036615; 95.0; 86.12; 0.188; GCA_937997515.1; s__Nanoperiomorbus sp937997515; 95.0; 86.07; 0.178; GCA_938017725.1; s__Nanoperiomorbus sp938017725; 95.0; 86.03; 0.186; GCA_938041355.1; s__Nanoperiomorbus sp938041355; 95.0; 85.96; 0.171; GCA_938045335.1; s__Nanoperiomorbus sp938045335; 95.0; 85.95; 0.205; GCA_938017645.1; s__Nanoperiomorbus sp938017645; 95.0; 85.87; 0.197; GCA_938033885.1; s__Nanoperiomorbus sp938033885; 95.0; 85.8; 0.182; GCA_938044095.1; s__Nanoperiomorbus sp938044095; 95.0; 85.79; 0.17; GCA_938028605.1; s__Nanoperiomorbus sp938028605; 95.0; 85.61; 0.189; GCA_937990685.1; s__Nanoperiomorbus sp937990685; 95.0; 85.6; 0.172; GCA_938010415.1; s__Nanoperiomorbus sp938010415; 95.0; 85.57; 0.21,52.97,11.0,0.99593,
MEGAHIT-MaxBin2Refined-RM_173.003.fa.gz,RM_173,RMCA,Papio anubis,male,M3,1982,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_173.003.fa.gz,bacteria_odb10,75.8,75.8,0.0,14.5,9.7,124,MEGAHIT-MaxBin2Refined-RM_173.003.fa.gz,424,424,125,37,1,0,1891773,1891773,1145775,549801,30801,0,424,30801,1891773,43.27,6260,3370,89,191,0.0,1 + 0 part,,0.0,0.088,0.1654056603773585,0.1375,0.192,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_173.003.fa.gz,k__Bacteria (UID2495),2993,143,89,15,120,8,0,0,0,91.43,2.99,50.0,d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium;s__Endomicrobium sp938040055,GCA_938040055.1,95.0,d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium;s__Endomicrobium sp938040055,98.96,0.936,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-RM_173.005.fa.gz,RM_173,RMCA,Papio anubis,male,M3,1982,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_173.005.fa.gz,bacteria_odb10,72.6,71.8,0.8,18.5,8.9,124,MEGAHIT-MaxBin2Refined-RM_173.005.fa.gz,1029,1029,64,6,0,0,2438387,2438387,433618,71000,0,0,1029,14795,2438387,63.03,2656,1773,284,569,0.0,0 + 0 part,,0.0,0.093,0.2191525753158406,0.156,0.233,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_173.005.fa.gz,p__Actinobacteria (UID2112),31,211,124,15,177,17,1,1,0,89.99,8.29,30.77,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__,,,,,,GCF_001189515.2,95.0,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__Olsenella_F sp001189515,90.27,0.479,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,75.67,11.0,0.99045,
MEGAHIT-MaxBin2Refined-RM_173.010_sub.fa.gz,RM_173,RMCA,Papio anubis,male,M3,1982,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_173.010_sub.fa.gz,bacteria_odb10,31.4,30.6,0.8,16.1,52.5,124,MEGAHIT-MaxBin2Refined-RM_173.010_sub.fa.gz,997,997,8,0,0,0,1768710,1768710,49088,0,0,0,997,8657,1768710,32.9,1834,1338,327,611,0.0,0 + 0 part,,0.0,0.125,0.4158375125376128,0.273,0.743,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_173.010_sub.fa.gz,p__Euryarchaeota (UID3),148,188,125,55,119,13,1,0,0,66.86,7.99,0.0,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp963082495,GCF_963082495.1,95.0,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp963082495,99.16,0.662,,,,,,,ani_screen,classification based on ANI only,,,,,
